"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"6";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED4, LED5, LED6, LED7, LED8, LED9";"LED";"";"";"";"";"";
"1";"";"M03LOCK";"1X03_LOCK";"RTC";"Header 3";"";"";"";"";"";
"1";"";"M05LOCK";"1X05_LOCK";"UART";"Header 5";"";"";"";"";"";
"1";"";"M06LOCK";"1X06_LOCK";"SWD";"Header 6";"";"";"";"";"";
"1";"100 nF";"C-EUC0603K";"C0603K";"C45";"CAPACITOR, European symbol";"";"";"";"";"";
"14";"100nF";"C-EUC0603";"C0603";"C1, C4, C5, C6, C7, C8, C28, C29, C32, C35, C37, C43, C44, C46";"CAPACITOR, European symbol";"";"";"";"";"";
"7";"10k";"R-EU_R0603";"R0603";"R28, R32, R64, R65, R66, R67, R78";"RESISTOR, European symbol";"";"";"";"";"";
"2";"10nF";"C-EUC0603";"C0603";"C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"120";"R-EU_R0603";"R0603";"R76, R77, R79";"RESISTOR, European symbol";"";"";"";"";"";
"2";"18 pF";"C-EUC0603";"C0603";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";
"11";"1k";"R-EU_R0603";"R0603";"R19, R52, R54, R56, R58, R60, R62, R68, R70, R72, R74";"RESISTOR, European symbol";"";"";"";"";"";
"1";"1uF";"C-EUC0805";"C0805";"C11";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"1uF";"C-EUC3225";"C3225";"C17, C20, C23";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"2.2 uH";"DR1030";"DR1030";"L1, L2, L3";"DR1030 Series Low Profile Power Inductors";"";"";"";"";"";
"2";"2.2uF";"C-EUC0805";"C0805";"C12, C13";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"21k";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";
"4";"220nF";"C-EUC0603";"C0603";"C39, C40, C41, C42";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"22k";"R-EU_R0603";"R0603";"R47";"RESISTOR, European symbol";"";"";"";"";"";
"4";"22uF";"C-EUC3225";"C3225";"C15, C18, C21, C24";"CAPACITOR, European symbol";"";"";"";"";"";
"4";"270";"R-EU_R0603";"R0603";"R1, R16, R80, R81";"RESISTOR, European symbol";"";"";"";"";"";
"6";"3.3nF";"C-EUC0603";"C0603";"C30, C31, C33, C34, C36, C38";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"300k";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";
"26";"330";"R-EU_R0603";"R0603";"R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R45, R46, R48, R49, R50, R51, R53, R55, R57, R59, R61, R63, R69, R71, R73, R75";"RESISTOR, European symbol";"";"";"";"";"";
"3";"33k";"R-EU_R0603";"R0603";"R30, R33, R44";"RESISTOR, European symbol";"";"";"";"";"";
"1";"383k";"R-EU_R0603";"R0603";"R14";"RESISTOR, European symbol";"";"";"";"";"";
"2";"47";"R-EU_R0603";"R0603";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";
"1";"470";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"";"";"";"";"";
