Configuration	BlueBoard
STM32CubeMX 	4.12.0
Date	01/02/2016
MCU	STM32F746VGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN4	ADC1_IN4	PA4
ADC1	IN5	ADC1_IN5	PA5
ADC1	IN6	ADC1_IN6	PA6
ADC1	IN7	ADC1_IN7	PA7
ADC1	IN8	ADC1_IN8	PB0
ADC1	IN9	ADC1_IN9	PB1
ADC1	IN12	ADC1_IN12	PC2
ADC1	IN13	ADC1_IN13	PC3
ADC1	IN14	ADC1_IN14	PC4
ADC1	IN15	ADC1_IN15	PC5
CAN1	Master	CAN1_RX	PD0
CAN1	Master	CAN1_TX	PD1
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0/OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1/OSC_OUT
SPI4	Full-Duplex Master	SPI4_MISO	PE5
SPI4	Full-Duplex Master	SPI4_MOSI	PE6
SPI4	Full-Duplex Master	SPI4_SCK	PE2
SPI4	Hardware	SPI4_NSS	PE4
SYS	SWD and Asynchronous Trace	SYS_JTMS-SWDIO	PA13
SYS	SWD and Asynchronous Trace	SYS_JTCK-SWCLK	PA14
SYS	SWD and Asynchronous Trace	SYS_JTDO-SWO	PB3
TIM1	PWM Generation CH1	TIM1_CH1	PE9
TIM1	PWM Generation CH2	TIM1_CH2	PE11
TIM1	PWM Generation CH3	TIM1_CH3	PE13
TIM1	PWM Generation CH4	TIM1_CH4	PE14
TIM3	Encoder Mode	TIM3_CH1	PB4
TIM3	Encoder Mode	TIM3_CH2	PB5
TIM4	Encoder Mode	TIM4_CH1	PB6
TIM4	Encoder Mode	TIM4_CH2	PB7
TIM5	PWM Generation CH1	TIM5_CH1	PA0/WKUP
TIM5	PWM Generation CH2	TIM5_CH2	PA1
TIM5	PWM Generation CH3	TIM5_CH3	PA2
TIM5	PWM Generation CH4	TIM5_CH4	PA3
TIM8	ITR0	TIM8_VS_ClockSourceITR	VP_TIM8_VS_ClockSourceITR
TIM8	Internal Clock	TIM8_VS_ClockSourceINT	VP_TIM8_VS_ClockSourceINT
TIM8	PWM Generation CH1	TIM8_CH1	PC6
TIM8	PWM Generation CH2	TIM8_CH2	PC7
TIM8	PWM Generation CH3	TIM8_CH3	PC8
TIM8	PWM Generation CH4	TIM8_CH4	PC9
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART1	CTS/RTS	USART1_CTS	PA11
USART1	CTS/RTS	USART1_RTS	PA12
USART2	Asynchronous	USART2_RX	PD6
USART2	Asynchronous	USART2_TX	PD5
USART3	Single Wire (Half-Duplex)	USART3_TX	PB10
USB_OTG_HS	Device_Only	USB_OTG_HS_DM	PB14
USB_OTG_HS	Device_Only	USB_OTG_HS_DP	PB15



Pin Nb	PINs	FUNCTIONs	LABELs
1	PE2	SPI4_SCK	HMI_SCK
2	PE3	GPIO_Input	HMI_IRQ_IN
3	PE4	SPI4_NSS	HMI_nCSN
4	PE5	SPI4_MISO	HMI_MISO
5	PE6	SPI4_MOSI	HMI_MOSI
7	PC13	GPIO_Output	HMI_IRQ_OUT
8	PC14/OSC32_IN	GPIO_Input	SW1
9	PC15/OSC32_OUT	GPIO_Input	SW2
12	PH0/OSC_IN	RCC_OSC_IN	
13	PH1/OSC_OUT	RCC_OSC_OUT	
15	PC0	GPIO_Input	END_1
16	PC1	GPIO_Input	END_2
17	PC2	ADC1_IN12	ADC_IBAT
18	PC3	ADC1_IN13	ADC_IP1
22	PA0/WKUP	TIM5_CH1	ASV5_PWM
23	PA1	TIM5_CH2	ASV6_PWM
24	PA2	TIM5_CH3	ASV7_PWM
25	PA3	TIM5_CH4	ASV8_PWM
28	PA4	ADC1_IN4	ADC_IP2
29	PA5	ADC1_IN5	ADC_IP3
30	PA6	ADC1_IN6	ADC_IMOT1
31	PA7	ADC1_IN7	ADC_IMOT2
32	PC4	ADC1_IN14	ADC_CEL1
33	PC5	ADC1_IN15	ADC_CEL2
34	PB0	ADC1_IN8	ADC_CEL3
35	PB1	ADC1_IN9	ADC_CEL4
36	PB2	GPIO_Input	END_3
37	PE7	GPIO_Output	MOT_I1
38	PE8	GPIO_Output	MOT_I0
39	PE9	TIM1_CH1	MOT2_DIR
40	PE10	GPIO_Input	MOT_nFAULT
41	PE11	TIM1_CH2	MOT2_PWM
42	PE12	GPIO_Output	MOT_nRESET
43	PE13	TIM1_CH3	MOT1_PWM
44	PE14	TIM1_CH4	MOT1_DIR
45	PE15	GPIO_Output	MOT_nSLEEP
46	PB10	USART3_TX	DSV_TXRX
47	PB11	GPIO_Input	END_4
51	PB12	GPIO_Input	IND_10
52	PB13	GPIO_Input	IND_9
53	PB14	USB_OTG_HS_DM	
54	PB15	USB_OTG_HS_DP	
55	PD8	GPIO_Input	IND_8
56	PD9	GPIO_Input	IND_7
57	PD10	GPIO_Input	IND_6
58	PD11	GPIO_Input	IND_5
59	PD12	GPIO_Input	IND_4
60	PD13	GPIO_Input	IND_3
61	PD14	GPIO_Input	IND_2
62	PD15	GPIO_Input	IND_1
63	PC6	TIM8_CH1	ASV4_PWM
64	PC7	TIM8_CH2	ASV3_PWM
65	PC8	TIM8_CH3	ASV2_PWM
66	PC9	TIM8_CH4	ASV1_PWM
